date,code,name,market,price
20260804,130A,Veritas In Silico Inc.,Growth Market(Domestic),415.0
20260804,1332,Nissui Corporation,Prime Market (Domestic),1223.5
20260804,1333,Umios Corporation,Prime Market (Domestic),1284.0
20260804,135A,"VRAIN Solution,Inc.",Growth Market(Domestic),3770.0
20260804,1375,"YUKIGUNI FACTORY CO.,LTD.",Prime Market (Domestic),1140.0
20260804,1376,"KANEKO SEEDS CO.,LTD.",Standard Market(Domestic),1517.0
20260804,1377,SAKATA SEED CORPORATION,Prime Market (Domestic),4275.0
20260804,1379,HOKUTO CORPORATION,Prime Market (Domestic),1875.0
20260804,137A,"Cocolive,Inc.",Growth Market(Domestic),701.0
20260804,1380,"AKIKAWA FOODS & FARMS CO.,LTD.",Standard Market(Domestic),994.0
20260804,1381,"AXYZ CO.,Ltd.",Standard Market(Domestic),3450.0
20260804,1382,"HOB Co.,Ltd.",Standard Market(Domestic),941.0
20260804,1383,"Berg Earth co.,ltd.",Standard Market(Domestic),3015.0
20260804,1384,"Hokuryo Co.,Ltd.",Standard Market(Domestic),1996.0
20260804,138A,"Hikari Food Service Co.,Ltd.",Growth Market(Domestic),2962.0
20260804,1401,"mbs,inc.",Growth Market(Domestic),1268.0
20260804,1407,West Holdings Corporation,Standard Market(Domestic),2730.0
20260804,1414,"SHO-BOND Holdings Co.,Ltd.",Prime Market (Domestic),1286.5
20260804,1417,MIRAIT ONE Corporation,Prime Market (Domestic),3423.0
20260804,1418,"INTERLIFE HOLDINGS CO.,LTD.",Standard Market(Domestic),594.0
