code,name,date,open,high,low,close,volume,change_pct,error
1301,KYOKUYO CO LTD,2026-08-04,4505,4510,4455,4480,89800,-0.67,
1332,NISSUI CORPORATION,2026-08-04,1240,1248.5,1222.5,1223.5,1188900,-2.00,
1333,UMIOS CORP,2026-08-04,1300.5,1301,1281,1284,633800,-1.91,
1375,YUKIGUNI FACTORY CO LTD,2026-08-04,1154,1155,1140,1140,36900,-1.21,
1377,SAKATA SEED CORP,2026-08-04,4310,4315,4265,4275,101300,-1.27,
1379,HOKUTO CORP,2026-08-04,1901,1909,1871,1875,103300,-1.83,
1414,SHO-BOND HOLDINGS CO LTD,2026-08-04,1305,1306,1281.5,1286.5,960700,-1.42,
1417,MIRAIT ONE CORPORATION,2026-08-04,3441,3450,3413,3423,255500,-0.41,
1419,TAMA HOME CO LIMITED,2026-08-04,2967,2977,2901,2905,87600,-1.63,
1429,NIPPON AQUA CO LTD,2026-08-04,745,751,742,747,59600,0.81,
1433,BESTERRA CO LTD,2026-08-04,1120,1125,1107,1110,23600,-0.80,
1515,NITTETSU MINING CO,2026-08-04,3130,3225,3105,3205,712700,2.40,
1518,MITSUI MATSUSHIMA HOLDINGS CO L,2026-08-04,2323,2330,2263,2282,479300,-1.30,
1605,INPEX CORPORATION,2026-08-04,3507,3528,3466,3492,3085500,-0.77,
1662,JAPAN PETROLEUM EXPLORATION CO ,2026-08-04,1722,1724,1691,1701,1002800,-0.53,
1663,K&O ENERGY GROUP INC,2026-08-04,1804,1815,1784,1786,177400,-1.05,
1719,HAZAMA ANDO CORP,2026-08-04,1798.5,1811.5,1778,1786.5,701400,-1.13,
1720,TOKYU CONSTRUCTION CO(NEW),2026-08-04,1142,1159,1135,1146,339900,0.53,
1721,COMSYS HOLDINGS CORP,2026-08-04,5193,5248,5157,5248,406600,0.92,
1762,TAKAMATSU CONSTRUCTION GROUP CO,2026-08-04,3685,3725,3670,3670,33100,-1.61,
1766,TOKEN CORPORATION,2026-08-04,12890,13000,12700,12900,34300,0.08,
1780,YAMAURA CORP,2026-08-04,1451,1452,1434,1440,43800,-1.10,
1786,ORIENTAL SHIRAISHI CORPORATION,2026-08-04,371,371,367,369,671900,-0.54,
1801,TAISEI CORP,2026-08-04,12880,13135,12815,13005,533500,0.74,
1802,OBAYASHI CORP,2026-08-04,3100,3150,3100,3122,1457400,0.26,
1803,SHIMIZU CORP,2026-08-04,2336.5,2437.5,2335,2398,3149100,2.61,
1808,HASEKO CORPORATION,2026-08-04,2732.5,2736,2655,2656,929200,-1.79,
1812,KAJIMA CORP,2026-08-04,5255,5347,5245,5310,1751300,1.05,
1813,FUDO TETRA CORP,2026-08-04,2730,2787,2720,2759,107500,0.40,
1814,DAISUE CONSTRUCTION CO,2026-08-04,3475,3490,3420,3450,53900,-0.72,
1815,TEKKEN CORP,2026-08-04,4335,4450,4335,4445,81900,1.72,
1820,NISHIMATSU CONSTRUCTION CO,2026-08-04,5230,5290,5223,5248,102900,0.06,
1833,OKUMURA CORP,2026-08-04,5710,5790,5710,5730,78200,-0.87,
1835,TOTETSU KOGYO CO,2026-08-04,4105,4150,4100,4105,48600,0.12,
1852,ASANUMA CORP,2026-08-04,867,871,859,865,334500,-0.12,
1860,TODA CORP,2026-08-04,1483.5,1498,1478.5,1481.5,817200,-0.20,
1861,KUMAGAI GUMI CO,2026-08-04,1409,1415,1396,1402,438500,-0.14,
1870,YAHAGI CONSTRUCTION CO,2026-08-04,1883,1892,1875,1876,128200,-0.58,
1871,PS CONSTRUCTION CO LTD,2026-08-04,2251,2298,2244,2273,83300,-0.57,
1873,NIHON HOUSE HOLDINGS CO LTD,2026-08-04,310,311,302,302,63900,-1.31,
1878,DAITO TRUST CONSTRUCTION CO,2026-08-04,3261,3270,3220,3220,1679000,-0.65,
1879,SHINNIHON CORP,2026-08-04,2208,2215,2161,2161,482000,-1.10,
1882,TOA ROAD CORPORATION,2026-08-04,1598,1618,1594,1605,353600,0.00,
1885,TOA CORPORATION (CONST),2026-08-04,2014,2075,2014,2057,392900,1.58,
1887,JDC CORPORATION,2026-08-04,520,525,517,519,339000,-0.38,
1888,WAKACHIKU CONSTRUCTION CO,2026-08-04,3630,3635,3545,3545,13200,-2.34,
1893,PENTA OCEAN CONSTRUCTION,2026-08-04,1500,1524,1495.5,1516,1454900,1.44,
1898,SEIKITOKYU KOGYO CO,2026-08-04,1481,1488,1468,1472,166000,-0.61,
1899,FUKUDA CORP,2026-08-04,3825,3890,3825,3880,31700,0.65,
1911,SUMITOMO FORESTRY CO,2026-08-04,1319.5,1323.5,1308,1314,2546100,-0.42,
